cgroup_id,pid,start_timestamp,end_timestamp,latency
163615,50735007,79185,5244542059425,5244592794432
163676,50928813,79202,5244774927594,5244825856407
163676,46245479,79220,5244984125352,5245030370831
163737,42622348,79239,5245190795312,5245233417660
163798,41534561,79256,5245368791366,5245410325927
163859,40950164,79274,5245557880292,5245598830456
163920,41125922,79293,5245752115781,5245793241703
163981,40848752,79310,5245948715152,5245989563904
163981,42414073,79326,5246130108821,5246172522894
164042,41294504,79343,5246320624976,5246361919480
164042,40311166,79363,5246507331596,5246547642762
164103,43978754,79381,5246701747213,5246745725967
164164,40936919,79397,5246887074495,5246928011414
164225,51910073,79414,5247076124510,5247128034583
164286,49377128,79430,5247265920563,5247315297691
164347,40509157,79447,5247471556418,5247512065575
164408,40845258,79465,5247660072393,5247700917651
164469,41443176,79482,5247838224754,5247879667930
164530,40755019,79501,5248018513104,5248059268123
164591,47275312,79519,5248231195578,5248278470890
164591,48523010,79538,5248432322785,5248480845795
164652,41982971,79557,5248627065712,5248669048683
164652,41418907,79574,5248809947529,5248851366436
164713,42002746,79593,5249016391920,5249058394666
164774,44998024,79611,5249203417687,5249248415711
