cgroup_id,pid,start_timestamp,end_timestamp,latency
92245,48587861,44228,4525447430059,4525496017920
92245,43823989,44246,4525645590673,4525689414662
92245,50459539,44266,4525834758187,4525885217726
92245,48076795,44283,4526036809177,4526084885972
92245,41432911,44301,4526245330144,4526286763055
92245,48495974,44318,4526446022039,4526494518013
92245,49736811,44338,4526641900767,4526691637578
92245,47594992,44354,4526843759759,4526891354751
92245,42677206,44372,4527048245851,4527090923057
92245,47426998,44387,4527254825767,4527302252765
92245,47791976,44405,4527453134395,4527500926371
92245,54573042,44424,4527651139869,4527705712911
92245,54975688,44443,4527842200780,4527897176468
92245,48828461,44459,4528035944733,4528084773194
92245,44614337,44479,4528226243652,4528270857989
92245,42653271,44498,4528403112652,4528445765923
92245,41860853,44517,4528594446624,4528636307477
92245,44505637,44532,4528779981544,4528824487181
92245,57245020,44550,4528981792730,4529039037750
92245,51010405,44566,4529215349905,4529266360310
92245,47569280,44580,4529417957202,4529465526482
92245,41793878,44599,4529612664267,4529654458145
92245,44730934,44620,4529807719076,4529852450010
92245,47048003,44638,4529987075674,4530034123677
92245,50445715,44658,4530183761028,4530234206743
